episode,reward
1,66.0
2,61.0
3,84.0
4,45.0
5,23.0
6,26.0
7,48.0
8,55.0
9,41.0
10,58.0
11,59.0
12,51.0
13,50.0
14,52.0
15,85.0
16,97.0
17,51.0
18,70.0
19,66.0
20,60.0
21,76.0
22,87.0
23,45.0
24,67.0
25,51.0
26,69.0
27,72.0
28,60.0
29,84.0
30,70.0
31,63.0
32,89.0
33,68.0
34,54.0
35,65.0
36,44.0
37,73.0
38,111.0
39,59.0
40,79.0
41,43.0
42,70.0
43,73.0
44,66.0
45,49.0
46,78.0
47,88.0
48,49.0
49,70.0
50,92.0
51,67.0
52,69.0
53,60.0
54,97.0
55,89.0
56,108.0
57,123.0
58,56.0
59,67.0
60,52.0
61,74.0
62,67.0
63,67.0
64,89.0
65,118.0
66,99.0
67,69.0
68,86.0
69,95.0
70,85.0
71,93.0
72,71.0
73,75.0
74,74.0
75,85.0
76,95.0
77,92.0
78,68.0
79,71.0
80,97.0
81,76.0
82,99.0
83,89.0
84,77.0
85,50.0
86,99.0
87,99.0
88,82.0
89,85.0
90,113.0
91,62.0
92,93.0
93,96.0
94,85.0
95,91.0
96,120.0
97,70.0
98,91.0
99,68.0
100,56.0
101,85.0
102,91.0
103,65.0
104,123.0
105,59.0
106,109.0
107,99.0
108,91.0
109,61.0
110,80.0
111,24.0
112,122.0
113,104.0
114,96.0
115,65.0
116,117.0
117,129.0
118,135.0
119,61.0
120,118.0
121,83.0
122,69.0
123,127.0
124,127.0
125,59.0
126,57.0
127,65.0
128,78.0
129,119.0
130,124.0
131,127.0
132,110.0
133,53.0
134,104.0
135,64.0
136,120.0
137,90.0
138,49.0
139,121.0
140,115.0
141,51.0
142,91.0
143,44.0
144,120.0
145,96.0
146,135.0
147,64.0
148,114.0
149,100.0
150,117.0
151,115.0
152,120.0
153,44.0
154,91.0
155,42.0
156,126.0
157,50.0
158,29.0
159,112.0
160,114.0
161,39.0
162,126.0
163,48.0
164,130.0
165,100.0
166,99.0
167,120.0
168,123.0
169,118.0
170,112.0
171,47.0
172,120.0
173,118.0
174,106.0
175,31.0
176,118.0
177,65.0
178,116.0
179,108.0
180,109.0
181,54.0
182,40.0
183,69.0
184,120.0
185,88.0
186,107.0
187,113.0
188,67.0
189,94.0
190,58.0
191,129.0
192,69.0
193,123.0
194,79.0
195,112.0
196,68.0
197,84.0
198,62.0
199,118.0
200,99.0
201,47.0
202,49.0
203,121.0
204,91.0
205,113.0
206,91.0
207,115.0
208,69.0
209,99.0
210,118.0
211,123.0
212,115.0
213,123.0
214,99.0
215,118.0
216,123.0
217,115.0
218,120.0
219,123.0
220,91.0
221,118.0
222,118.0
223,115.0
224,47.0
225,129.0
226,102.0
227,115.0
228,32.0
229,123.0
230,120.0
231,69.0
232,64.0
233,104.0
234,120.0
235,123.0
236,123.0
237,123.0
238,123.0
239,115.0
240,48.0
241,61.0
242,115.0
243,120.0
244,123.0
245,120.0
246,112.0
247,123.0
248,69.0
249,75.0
250,72.0
251,43.0
252,107.0
253,107.0
254,109.0
255,107.0
256,100.0
257,40.0
258,123.0
259,67.0
260,99.0
261,115.0
262,112.0
263,115.0
264,123.0
265,115.0
266,120.0
267,67.0
268,67.0
269,102.0
270,113.0
271,120.0
272,112.0
273,120.0
274,59.0
275,123.0
276,126.0
277,80.0
278,112.0
279,120.0
280,112.0
281,88.0
282,112.0
283,63.0
284,112.0
285,118.0
286,109.0
287,118.0
288,120.0
289,123.0
290,115.0
291,91.0
292,118.0
293,120.0
294,121.0
295,109.0
296,96.0
297,120.0
298,123.0
299,109.0
300,112.0
301,123.0
302,104.0
303,96.0
304,61.0
305,103.0
306,101.0
307,107.0
308,117.0
309,126.0
310,109.0
311,123.0
312,120.0
313,115.0
314,95.0
315,112.0
316,110.0
317,21.0
318,92.0
319,80.0
320,112.0
321,107.0
322,120.0
323,120.0
324,120.0
325,120.0
326,115.0
327,104.0
328,-20.0
329,117.0
330,115.0
331,111.0
332,104.0
333,120.0
334,115.0
335,107.0
336,117.0
337,88.0
338,115.0
339,121.0
340,115.0
341,117.0
342,15.0
343,110.0
344,107.0
345,129.0
346,107.0
347,117.0
348,106.0
349,107.0
350,120.0
351,104.0
352,115.0
353,120.0
354,115.0
355,120.0
356,102.0
357,120.0
358,123.0
359,115.0
360,126.0
361,104.0
362,126.0
363,102.0
364,123.0
365,120.0
366,120.0
367,96.0
368,120.0
369,115.0
370,98.0
371,123.0
372,117.0
373,112.0
374,107.0
375,112.0
376,107.0
377,123.0
378,120.0
379,117.0
380,115.0
381,109.0
382,120.0
383,120.0
384,123.0
385,99.0
386,115.0
387,112.0
388,120.0
389,107.0
390,112.0
391,86.0
392,117.0
393,115.0
394,89.0
395,123.0
396,117.0
397,117.0
398,123.0
399,101.0
400,120.0
401,79.0
402,109.0
403,115.0
404,120.0
405,105.0
406,19.0
407,92.0
408,118.0
409,115.0
410,99.0
411,120.0
412,104.0
413,55.0
414,101.0
415,123.0
416,106.0
417,94.0
418,99.0
419,102.0
420,123.0
421,109.0
422,117.0
423,115.0
424,120.0
425,103.0
426,117.0
427,115.0
428,123.0
429,118.0
430,80.0
431,123.0
432,115.0
433,123.0
434,120.0
435,115.0
436,112.0
437,120.0
438,120.0
439,49.0
440,120.0
441,112.0
442,120.0
443,115.0
444,123.0
445,126.0
446,115.0
447,123.0
448,123.0
449,115.0
450,126.0
451,124.0
452,126.0
453,115.0
454,113.0
455,112.0
456,112.0
457,105.0
458,104.0
459,115.0
460,126.0
461,123.0
462,123.0
463,126.0
464,120.0
465,59.0
466,123.0
467,118.0
468,116.0
469,81.0
470,123.0
471,115.0
472,121.0
473,112.0
474,97.0
475,61.0
476,107.0
477,123.0
478,126.0
479,94.0
480,110.0
481,115.0
482,115.0
483,115.0
484,118.0
485,107.0
486,59.0
487,112.0
488,115.0
489,115.0
490,126.0
491,87.0
492,110.0
493,112.0
494,120.0
495,112.0
496,107.0
497,112.0
498,120.0
499,115.0
500,117.0
