episode,reward,topology
1,29.0,sample_topology
2,28.0,sample_topology
3,34.0,sample_topology
4,18.0,sample_topology
5,14.0,sample_topology
6,38.0,sample_topology
7,12.0,sample_topology
8,22.0,sample_topology
9,4.0,sample_topology
10,32.0,sample_topology
11,39.0,sample_topology
12,17.0,sample_topology
13,30.0,sample_topology
14,39.0,sample_topology
15,35.0,sample_topology
16,30.0,sample_topology
17,29.0,sample_topology
18,18.0,sample_topology
19,15.0,sample_topology
20,26.0,sample_topology
21,33.0,sample_topology
22,21.0,sample_topology
23,25.0,sample_topology
24,34.0,sample_topology
25,26.0,sample_topology
26,40.0,sample_topology
27,35.0,sample_topology
28,48.0,sample_topology
29,20.0,sample_topology
30,24.0,sample_topology
31,48.0,sample_topology
32,26.0,sample_topology
33,27.0,sample_topology
34,26.0,sample_topology
35,36.0,sample_topology
36,27.0,sample_topology
37,47.0,sample_topology
38,21.0,sample_topology
39,45.0,sample_topology
40,44.0,sample_topology
41,21.0,sample_topology
42,31.0,sample_topology
43,30.0,sample_topology
44,29.0,sample_topology
45,40.0,sample_topology
46,29.0,sample_topology
47,47.0,sample_topology
48,12.0,sample_topology
49,41.0,sample_topology
50,2.0,sample_topology
51,38.0,sample_topology
52,14.0,sample_topology
53,30.0,sample_topology
54,40.0,sample_topology
55,9.0,sample_topology
56,29.0,sample_topology
57,18.0,sample_topology
58,31.0,sample_topology
59,5.0,sample_topology
60,14.0,sample_topology
61,21.0,sample_topology
62,40.0,sample_topology
63,21.0,sample_topology
64,14.0,sample_topology
65,41.0,sample_topology
66,20.0,sample_topology
67,31.0,sample_topology
68,30.0,sample_topology
69,29.0,sample_topology
70,40.0,sample_topology
71,40.0,sample_topology
72,36.0,sample_topology
73,26.0,sample_topology
74,39.0,sample_topology
75,36.0,sample_topology
76,30.0,sample_topology
77,13.0,sample_topology
78,29.0,sample_topology
79,33.0,sample_topology
80,24.0,sample_topology
81,22.0,sample_topology
82,24.0,sample_topology
83,39.0,sample_topology
84,26.0,sample_topology
85,24.0,sample_topology
86,14.0,sample_topology
87,39.0,sample_topology
88,41.0,sample_topology
89,26.0,sample_topology
90,22.0,sample_topology
91,22.0,sample_topology
92,36.0,sample_topology
93,24.0,sample_topology
94,33.0,sample_topology
95,20.0,sample_topology
96,43.0,sample_topology
97,25.0,sample_topology
98,23.0,sample_topology
99,-3.0,sample_topology
100,30.0,sample_topology
101,55.0,sample_topology
102,48.0,sample_topology
103,39.0,sample_topology
104,35.0,sample_topology
105,35.0,sample_topology
106,45.0,sample_topology
107,27.0,sample_topology
108,22.0,sample_topology
109,54.0,sample_topology
110,31.0,sample_topology
111,35.0,sample_topology
112,25.0,sample_topology
113,32.0,sample_topology
114,39.0,sample_topology
115,8.0,sample_topology
116,26.0,sample_topology
117,54.0,sample_topology
118,35.0,sample_topology
119,18.0,sample_topology
120,36.0,sample_topology
121,32.0,sample_topology
122,44.0,sample_topology
123,18.0,sample_topology
124,29.0,sample_topology
125,24.0,sample_topology
126,36.0,sample_topology
127,43.0,sample_topology
128,28.0,sample_topology
129,50.0,sample_topology
130,2.0,sample_topology
131,25.0,sample_topology
132,16.0,sample_topology
133,44.0,sample_topology
134,32.0,sample_topology
135,9.0,sample_topology
136,27.0,sample_topology
137,59.0,sample_topology
138,39.0,sample_topology
139,55.0,sample_topology
140,34.0,sample_topology
141,20.0,sample_topology
142,35.0,sample_topology
143,37.0,sample_topology
144,54.0,sample_topology
145,26.0,sample_topology
146,33.0,sample_topology
147,39.0,sample_topology
148,22.0,sample_topology
149,29.0,sample_topology
150,38.0,sample_topology
151,29.0,sample_topology
152,41.0,sample_topology
153,13.0,sample_topology
154,30.0,sample_topology
155,42.0,sample_topology
156,38.0,sample_topology
157,41.0,sample_topology
158,54.0,sample_topology
159,13.0,sample_topology
160,36.0,sample_topology
161,46.0,sample_topology
162,46.0,sample_topology
163,37.0,sample_topology
164,31.0,sample_topology
165,65.0,sample_topology
166,22.0,sample_topology
167,37.0,sample_topology
168,39.0,sample_topology
169,64.0,sample_topology
170,22.0,sample_topology
171,35.0,sample_topology
172,45.0,sample_topology
173,37.0,sample_topology
174,60.0,sample_topology
175,44.0,sample_topology
176,35.0,sample_topology
177,53.0,sample_topology
178,53.0,sample_topology
179,20.0,sample_topology
180,34.0,sample_topology
181,42.0,sample_topology
182,47.0,sample_topology
183,33.0,sample_topology
184,14.0,sample_topology
185,14.0,sample_topology
186,57.0,sample_topology
187,19.0,sample_topology
188,40.0,sample_topology
189,38.0,sample_topology
190,26.0,sample_topology
191,54.0,sample_topology
192,44.0,sample_topology
193,18.0,sample_topology
194,13.0,sample_topology
195,56.0,sample_topology
196,27.0,sample_topology
197,43.0,sample_topology
198,31.0,sample_topology
199,26.0,sample_topology
200,57.0,sample_topology
201,37.0,sample_topology
202,43.0,sample_topology
203,35.0,sample_topology
204,60.0,sample_topology
205,42.0,sample_topology
206,30.0,sample_topology
207,30.0,sample_topology
208,30.0,sample_topology
209,30.0,sample_topology
210,28.0,sample_topology
211,52.0,sample_topology
212,46.0,sample_topology
213,64.0,sample_topology
214,45.0,sample_topology
215,10.0,sample_topology
216,47.0,sample_topology
217,44.0,sample_topology
218,46.0,sample_topology
219,45.0,sample_topology
220,49.0,sample_topology
221,55.0,sample_topology
222,39.0,sample_topology
223,60.0,sample_topology
224,16.0,sample_topology
225,25.0,sample_topology
226,37.0,sample_topology
227,45.0,sample_topology
228,48.0,sample_topology
229,39.0,sample_topology
230,48.0,sample_topology
231,41.0,sample_topology
232,45.0,sample_topology
233,56.0,sample_topology
234,52.0,sample_topology
235,31.0,sample_topology
236,35.0,sample_topology
237,49.0,sample_topology
238,60.0,sample_topology
239,33.0,sample_topology
240,7.0,sample_topology
241,31.0,sample_topology
242,47.0,sample_topology
243,85.0,sample_topology
244,39.0,sample_topology
245,53.0,sample_topology
246,45.0,sample_topology
247,42.0,sample_topology
248,66.0,sample_topology
249,41.0,sample_topology
250,43.0,sample_topology
251,9.0,sample_topology
252,36.0,sample_topology
253,38.0,sample_topology
254,29.0,sample_topology
255,31.0,sample_topology
256,29.0,sample_topology
257,43.0,sample_topology
258,25.0,sample_topology
259,45.0,sample_topology
260,40.0,sample_topology
261,47.0,sample_topology
262,47.0,sample_topology
263,30.0,sample_topology
264,48.0,sample_topology
265,37.0,sample_topology
266,69.0,sample_topology
267,68.0,sample_topology
268,42.0,sample_topology
269,42.0,sample_topology
270,40.0,sample_topology
271,69.0,sample_topology
272,29.0,sample_topology
273,27.0,sample_topology
274,34.0,sample_topology
275,55.0,sample_topology
276,56.0,sample_topology
277,62.0,sample_topology
278,25.0,sample_topology
279,42.0,sample_topology
280,47.0,sample_topology
281,43.0,sample_topology
282,38.0,sample_topology
283,72.0,sample_topology
284,91.0,sample_topology
285,48.0,sample_topology
286,37.0,sample_topology
287,32.0,sample_topology
288,66.0,sample_topology
289,21.0,sample_topology
290,71.0,sample_topology
291,22.0,sample_topology
292,32.0,sample_topology
293,38.0,sample_topology
294,54.0,sample_topology
295,41.0,sample_topology
296,48.0,sample_topology
297,23.0,sample_topology
298,43.0,sample_topology
299,25.0,sample_topology
300,30.0,sample_topology
301,37.0,sample_topology
302,47.0,sample_topology
303,28.0,sample_topology
304,59.0,sample_topology
305,75.0,sample_topology
306,38.0,sample_topology
307,53.0,sample_topology
308,3.0,sample_topology
309,48.0,sample_topology
310,57.0,sample_topology
311,54.0,sample_topology
312,58.0,sample_topology
313,40.0,sample_topology
314,17.0,sample_topology
315,29.0,sample_topology
316,33.0,sample_topology
317,55.0,sample_topology
318,50.0,sample_topology
319,65.0,sample_topology
320,61.0,sample_topology
321,75.0,sample_topology
322,32.0,sample_topology
323,61.0,sample_topology
324,33.0,sample_topology
325,29.0,sample_topology
326,38.0,sample_topology
327,45.0,sample_topology
328,25.0,sample_topology
329,68.0,sample_topology
330,53.0,sample_topology
331,29.0,sample_topology
332,36.0,sample_topology
333,43.0,sample_topology
334,72.0,sample_topology
335,46.0,sample_topology
336,14.0,sample_topology
337,41.0,sample_topology
338,54.0,sample_topology
339,53.0,sample_topology
340,73.0,sample_topology
341,32.0,sample_topology
342,63.0,sample_topology
343,46.0,sample_topology
344,47.0,sample_topology
345,39.0,sample_topology
346,70.0,sample_topology
347,33.0,sample_topology
348,19.0,sample_topology
349,53.0,sample_topology
350,51.0,sample_topology
351,55.0,sample_topology
352,27.0,sample_topology
353,34.0,sample_topology
354,43.0,sample_topology
355,37.0,sample_topology
356,58.0,sample_topology
357,64.0,sample_topology
358,44.0,sample_topology
359,59.0,sample_topology
360,55.0,sample_topology
361,84.0,sample_topology
362,78.0,sample_topology
363,13.0,sample_topology
364,50.0,sample_topology
365,34.0,sample_topology
366,35.0,sample_topology
367,31.0,sample_topology
368,54.0,sample_topology
369,52.0,sample_topology
370,35.0,sample_topology
371,50.0,sample_topology
372,45.0,sample_topology
373,44.0,sample_topology
374,77.0,sample_topology
375,64.0,sample_topology
376,70.0,sample_topology
377,39.0,sample_topology
378,54.0,sample_topology
379,34.0,sample_topology
380,35.0,sample_topology
381,36.0,sample_topology
382,78.0,sample_topology
383,45.0,sample_topology
384,45.0,sample_topology
385,56.0,sample_topology
386,48.0,sample_topology
387,66.0,sample_topology
388,61.0,sample_topology
389,43.0,sample_topology
390,53.0,sample_topology
391,34.0,sample_topology
392,47.0,sample_topology
393,56.0,sample_topology
394,50.0,sample_topology
395,68.0,sample_topology
396,20.0,sample_topology
397,66.0,sample_topology
398,32.0,sample_topology
399,9.0,sample_topology
400,49.0,sample_topology
401,60.0,sample_topology
402,51.0,sample_topology
403,76.0,sample_topology
404,55.0,sample_topology
405,50.0,sample_topology
406,60.0,sample_topology
