episode,reward,topology
1,71.0,topology_4host
2,55.0,topology_4host
3,36.0,topology_4host
4,47.0,topology_4host
5,54.0,topology_4host
6,50.0,topology_4host
7,93.0,topology_4host
8,54.0,topology_4host
9,89.0,topology_4host
10,67.0,topology_4host
11,47.0,topology_4host
12,80.0,topology_4host
13,22.0,topology_4host
14,48.0,topology_4host
15,65.0,topology_4host
16,63.0,topology_4host
17,56.0,topology_4host
18,31.0,topology_4host
19,51.0,topology_4host
20,71.0,topology_4host
21,27.0,topology_4host
22,77.0,topology_4host
23,63.0,topology_4host
24,85.0,topology_4host
25,3.0,topology_4host
26,69.0,topology_4host
27,46.0,topology_4host
28,69.0,topology_4host
29,54.0,topology_4host
30,58.0,topology_4host
31,36.0,topology_4host
32,32.0,topology_4host
33,70.0,topology_4host
34,64.0,topology_4host
35,39.0,topology_4host
36,47.0,topology_4host
37,85.0,topology_4host
38,77.0,topology_4host
39,67.0,topology_4host
40,43.0,topology_4host
41,28.0,topology_4host
42,54.0,topology_4host
43,30.0,topology_4host
44,42.0,topology_4host
45,57.0,topology_4host
46,58.0,topology_4host
47,42.0,topology_4host
48,43.0,topology_4host
49,27.0,topology_4host
50,42.0,topology_4host
51,58.0,topology_4host
52,57.0,topology_4host
53,32.0,topology_4host
54,57.0,topology_4host
55,39.0,topology_4host
56,15.0,topology_4host
57,75.0,topology_4host
58,48.0,topology_4host
59,48.0,topology_4host
60,23.0,topology_4host
61,53.0,topology_4host
62,45.0,topology_4host
63,23.0,topology_4host
64,5.0,topology_4host
65,48.0,topology_4host
66,53.0,topology_4host
67,58.0,topology_4host
68,52.0,topology_4host
69,81.0,topology_4host
70,15.0,topology_4host
71,36.0,topology_4host
72,54.0,topology_4host
73,45.0,topology_4host
74,57.0,topology_4host
75,71.0,topology_4host
76,26.0,topology_4host
77,46.0,topology_4host
78,71.0,topology_4host
79,57.0,topology_4host
80,65.0,topology_4host
81,43.0,topology_4host
82,53.0,topology_4host
83,37.0,topology_4host
84,8.0,topology_4host
85,37.0,topology_4host
86,68.0,topology_4host
87,72.0,topology_4host
88,56.0,topology_4host
89,51.0,topology_4host
90,64.0,topology_4host
91,24.0,topology_4host
92,60.0,topology_4host
93,28.0,topology_4host
94,61.0,topology_4host
95,56.0,topology_4host
96,35.0,topology_4host
97,75.0,topology_4host
98,23.0,topology_4host
99,67.0,topology_4host
100,66.0,topology_4host
101,49.0,topology_4host
102,76.0,topology_4host
103,77.0,topology_4host
104,46.0,topology_4host
105,47.0,topology_4host
106,43.0,topology_4host
107,97.0,topology_4host
108,34.0,topology_4host
109,55.0,topology_4host
110,52.0,topology_4host
111,42.0,topology_4host
112,46.0,topology_4host
113,41.0,topology_4host
114,57.0,topology_4host
115,16.0,topology_4host
116,41.0,topology_4host
117,38.0,topology_4host
118,76.0,topology_4host
119,64.0,topology_4host
120,27.0,topology_4host
121,43.0,topology_4host
122,59.0,topology_4host
123,52.0,topology_4host
124,72.0,topology_4host
125,63.0,topology_4host
126,46.0,topology_4host
127,68.0,topology_4host
128,103.0,topology_4host
129,58.0,topology_4host
130,66.0,topology_4host
131,87.0,topology_4host
132,30.0,topology_4host
133,74.0,topology_4host
134,69.0,topology_4host
135,45.0,topology_4host
136,64.0,topology_4host
137,56.0,topology_4host
138,41.0,topology_4host
139,46.0,topology_4host
140,48.0,topology_4host
141,46.0,topology_4host
142,56.0,topology_4host
143,63.0,topology_4host
144,45.0,topology_4host
145,91.0,topology_4host
146,65.0,topology_4host
147,45.0,topology_4host
148,33.0,topology_4host
149,76.0,topology_4host
150,48.0,topology_4host
151,25.0,topology_4host
152,58.0,topology_4host
153,58.0,topology_4host
154,60.0,topology_4host
155,34.0,topology_4host
156,75.0,topology_4host
157,56.0,topology_4host
158,88.0,topology_4host
159,53.0,topology_4host
160,58.0,topology_4host
161,52.0,topology_4host
162,64.0,topology_4host
163,54.0,topology_4host
164,47.0,topology_4host
165,43.0,topology_4host
166,56.0,topology_4host
167,62.0,topology_4host
168,44.0,topology_4host
169,91.0,topology_4host
170,53.0,topology_4host
171,83.0,topology_4host
172,53.0,topology_4host
173,66.0,topology_4host
174,75.0,topology_4host
175,42.0,topology_4host
176,52.0,topology_4host
177,59.0,topology_4host
178,42.0,topology_4host
179,39.0,topology_4host
180,20.0,topology_4host
181,70.0,topology_4host
182,65.0,topology_4host
183,46.0,topology_4host
184,96.0,topology_4host
185,43.0,topology_4host
186,71.0,topology_4host
187,74.0,topology_4host
188,54.0,topology_4host
189,64.0,topology_4host
190,49.0,topology_4host
191,64.0,topology_4host
192,8.0,topology_4host
193,63.0,topology_4host
194,90.0,topology_4host
195,53.0,topology_4host
196,73.0,topology_4host
197,21.0,topology_4host
198,33.0,topology_4host
199,57.0,topology_4host
200,28.0,topology_4host
201,67.0,topology_4host
202,26.0,topology_4host
203,43.0,topology_4host
204,45.0,topology_4host
205,20.0,topology_4host
206,84.0,topology_4host
207,36.0,topology_4host
208,31.0,topology_4host
209,89.0,topology_4host
210,79.0,topology_4host
211,28.0,topology_4host
212,85.0,topology_4host
213,48.0,topology_4host
214,83.0,topology_4host
215,76.0,topology_4host
216,65.0,topology_4host
217,86.0,topology_4host
218,56.0,topology_4host
219,85.0,topology_4host
220,53.0,topology_4host
221,95.0,topology_4host
222,96.0,topology_4host
223,84.0,topology_4host
224,63.0,topology_4host
225,55.0,topology_4host
226,80.0,topology_4host
227,41.0,topology_4host
228,71.0,topology_4host
229,72.0,topology_4host
230,58.0,topology_4host
231,35.0,topology_4host
232,32.0,topology_4host
233,88.0,topology_4host
234,70.0,topology_4host
235,64.0,topology_4host
236,50.0,topology_4host
237,61.0,topology_4host
238,77.0,topology_4host
239,43.0,topology_4host
240,84.0,topology_4host
241,85.0,topology_4host
242,28.0,topology_4host
243,70.0,topology_4host
244,58.0,topology_4host
245,64.0,topology_4host
246,94.0,topology_4host
247,29.0,topology_4host
