episode,reward,topology
1,55.0,demo_corporate_network
2,70.0,demo_corporate_network
3,86.0,demo_corporate_network
4,13.0,demo_corporate_network
5,77.0,demo_corporate_network
6,55.0,demo_corporate_network
7,154.0,demo_corporate_network
8,86.0,demo_corporate_network
9,33.0,demo_corporate_network
10,67.0,demo_corporate_network
11,46.0,demo_corporate_network
12,48.0,demo_corporate_network
13,21.0,demo_corporate_network
14,52.0,demo_corporate_network
15,108.0,demo_corporate_network
16,9.0,demo_corporate_network
17,155.0,demo_corporate_network
18,19.0,demo_corporate_network
19,10.0,demo_corporate_network
20,26.0,demo_corporate_network
21,5.0,demo_corporate_network
22,61.0,demo_corporate_network
23,80.0,demo_corporate_network
24,51.0,demo_corporate_network
25,26.0,demo_corporate_network
26,57.0,demo_corporate_network
27,163.0,demo_corporate_network
28,-37.0,demo_corporate_network
29,-23.0,demo_corporate_network
30,50.0,demo_corporate_network
31,57.0,demo_corporate_network
32,58.0,demo_corporate_network
33,34.0,demo_corporate_network
34,-11.0,demo_corporate_network
35,19.0,demo_corporate_network
36,8.0,demo_corporate_network
37,34.0,demo_corporate_network
38,60.0,demo_corporate_network
39,146.0,demo_corporate_network
40,72.0,demo_corporate_network
41,145.0,demo_corporate_network
42,41.0,demo_corporate_network
43,23.0,demo_corporate_network
44,26.0,demo_corporate_network
45,-37.0,demo_corporate_network
46,10.0,demo_corporate_network
47,34.0,demo_corporate_network
48,26.0,demo_corporate_network
49,72.0,demo_corporate_network
50,13.0,demo_corporate_network
51,3.0,demo_corporate_network
52,122.0,demo_corporate_network
53,63.0,demo_corporate_network
54,48.0,demo_corporate_network
55,79.0,demo_corporate_network
56,7.0,demo_corporate_network
57,143.0,demo_corporate_network
58,20.0,demo_corporate_network
59,-4.0,demo_corporate_network
60,57.0,demo_corporate_network
61,38.0,demo_corporate_network
62,70.0,demo_corporate_network
63,87.0,demo_corporate_network
64,27.0,demo_corporate_network
65,52.0,demo_corporate_network
66,47.0,demo_corporate_network
67,-5.0,demo_corporate_network
68,73.0,demo_corporate_network
69,128.0,demo_corporate_network
70,126.0,demo_corporate_network
71,13.0,demo_corporate_network
72,76.0,demo_corporate_network
73,61.0,demo_corporate_network
74,49.0,demo_corporate_network
75,76.0,demo_corporate_network
76,76.0,demo_corporate_network
77,-16.0,demo_corporate_network
78,58.0,demo_corporate_network
79,63.0,demo_corporate_network
80,83.0,demo_corporate_network
81,13.0,demo_corporate_network
82,8.0,demo_corporate_network
83,5.0,demo_corporate_network
84,65.0,demo_corporate_network
85,77.0,demo_corporate_network
86,41.0,demo_corporate_network
87,74.0,demo_corporate_network
88,55.0,demo_corporate_network
89,12.0,demo_corporate_network
90,10.0,demo_corporate_network
91,105.0,demo_corporate_network
92,13.0,demo_corporate_network
93,58.0,demo_corporate_network
94,25.0,demo_corporate_network
95,20.0,demo_corporate_network
96,72.0,demo_corporate_network
97,70.0,demo_corporate_network
98,39.0,demo_corporate_network
99,71.0,demo_corporate_network
100,36.0,demo_corporate_network
101,40.0,demo_corporate_network
102,59.0,demo_corporate_network
103,78.0,demo_corporate_network
104,15.0,demo_corporate_network
105,96.0,demo_corporate_network
106,79.0,demo_corporate_network
107,151.0,demo_corporate_network
108,71.0,demo_corporate_network
109,57.0,demo_corporate_network
110,187.0,demo_corporate_network
111,65.0,demo_corporate_network
112,26.0,demo_corporate_network
113,-12.0,demo_corporate_network
114,82.0,demo_corporate_network
115,41.0,demo_corporate_network
116,97.0,demo_corporate_network
117,156.0,demo_corporate_network
118,27.0,demo_corporate_network
119,60.0,demo_corporate_network
120,6.0,demo_corporate_network
121,24.0,demo_corporate_network
122,86.0,demo_corporate_network
123,47.0,demo_corporate_network
124,43.0,demo_corporate_network
125,46.0,demo_corporate_network
126,91.0,demo_corporate_network
127,44.0,demo_corporate_network
128,81.0,demo_corporate_network
129,40.0,demo_corporate_network
130,10.0,demo_corporate_network
131,82.0,demo_corporate_network
132,20.0,demo_corporate_network
133,67.0,demo_corporate_network
134,123.0,demo_corporate_network
135,13.0,demo_corporate_network
136,75.0,demo_corporate_network
137,115.0,demo_corporate_network
138,137.0,demo_corporate_network
139,126.0,demo_corporate_network
140,87.0,demo_corporate_network
