episode,reward,topology
1,-2.0,sample_topology
2,49.0,sample_topology
3,49.0,sample_topology
4,5.0,sample_topology
5,86.0,sample_topology
6,22.0,sample_topology
7,43.0,sample_topology
8,-42.0,sample_topology
9,52.0,sample_topology
10,-37.0,sample_topology
11,-9.0,sample_topology
12,56.0,sample_topology
13,75.0,sample_topology
14,42.0,sample_topology
15,-49.0,sample_topology
16,25.0,sample_topology
17,58.0,sample_topology
18,26.0,sample_topology
19,42.0,sample_topology
20,-13.0,sample_topology
21,-5.0,sample_topology
22,50.0,sample_topology
23,31.0,sample_topology
24,-14.0,sample_topology
25,91.0,sample_topology
26,-44.0,sample_topology
27,8.0,sample_topology
28,33.0,sample_topology
29,55.0,sample_topology
30,11.0,sample_topology
31,42.0,sample_topology
32,46.0,sample_topology
33,41.0,sample_topology
34,58.0,sample_topology
35,41.0,sample_topology
36,39.0,sample_topology
37,37.0,sample_topology
38,56.0,sample_topology
39,39.0,sample_topology
40,38.0,sample_topology
41,24.0,sample_topology
42,9.0,sample_topology
43,53.0,sample_topology
44,41.0,sample_topology
45,47.0,sample_topology
46,53.0,sample_topology
47,56.0,sample_topology
48,27.0,sample_topology
49,39.0,sample_topology
50,22.0,sample_topology
